window,eligible_sightings,observed_hits,observed_pct,calendar_hit_days,calendar_total_days,baseline_pct,expected_hits,binomial_p,perm_p,perm_mean,perm_lo,perm_hi
1,351,24,0.06837606837606838,1221,16979,0.07191236232993697,25.241239177807877,0.6306728873142972,0.7222277772222778,26.5166,17,36
7,351,93,0.26495726495726496,4373,16973,0.2576444941966653,90.43321746302952,0.3968848899860643,0.5090490950904909,92.7472,77,109
90,350,331,0.9457142857142857,16215,16890,0.9600355239786856,336.01243339253995,0.9281368396627426,0.97000299970003,337.0449,330,343
180,343,343,1.0,16800,16800,1.0,343.0,1.0,1.0,343.0,343,343
